Numéro Etablissement;Numéro entité juridique;Raison sociale;Raison sociale - Libellé long;Complément de raison sociale;Complément de distribution;Code Département;Département;Téléphone;Fax;Code catégorie d’établissement;Catégorie d'établissement;Code agrégat d’établissemen;Catégorie d’agrégat d’établissement;Code APE;Code MFT;Libellé MFT;Code SPH;Libellé SPH;Date d’ouverture;Date d’autorisation;Dernière date de MAJ;Année;Adresse;Code INSEE;Code postal;Commune;Coordonnées de l'établissement;EPCI
970431946;970402004;DISPENSAIRE    DE PETITE-ILE;DISPENSAIRE    DE PETITE-ILE;;;9D;LA REUNION;97429;PETITE ILE;223;Protection Maternelle et Infantile (P.M.I.);2202;PMI Plani. Familiale;;01;Etablissement Tarif Libre;;;1966-04-01;1966-04-01;2014-04-28;2017;212 R MAHE DE LABOURDONNAIS;9D9D405;97429;PETITE ILE;-21.355128,55.565417;
970466686;970430914;ESAT TIDALONS SUD;ETS. ET SERVICE D'AIDE PAR LE TRAVAIL TIDALONS (ST-PIERRE);;ZI 2;9D;LA REUNION;97410;ST PIERRE;246;Etablissement et Service d'Aide par le Travail (E.S.A.T.);4302;Trav.Prot.Adul.Handi;8810C;34;ARS / DG dotation globale;;;2017-01-03;1993-11-01;2017-11-15;2017;AV BENOITE BOULARD;9D9D416;97410;ST PIERRE;-21.314968,55.473423;
970464855;970401584;PHARMACIE ZAC BANK;PHARMACIE ZAC BANK;;;9D;REUNION;97410;ST PIERRE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1991-02-21;;;;2004;128 R LUC LORION;9D9D416;97410;ST PIERRE;-21.331312,55.472224;
970464814;970401543;PHARMACIE LE PHENIX;PHARMACIE LE PHENIX;;;9D;LA REUNION;97427;L ETANG SALE;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1980-06-25;;;;2005;85 AV RAYMOND BARRE;9D9D404;97427;L ETANG SALE;-21.265194,55.366024;
970406310;970406302;O2CM;O2CM;;ZI DE BEL AIR;9D;LA REUNION;97450;ST LOUIS;422;Traitements Spécialisés à Domicile;1201;Soins à Domicile;;07;ARS établissements de santé non financés dotation globale;0;Non concerné;2004-11-24;2004-11-24;2013-09-04;2014;1 R DE VALMY;9D9D414;97450;ST LOUIS;-21.291592,55.399706;
970465977;970402582;PHARMACIE DE LA ROCADE;PHARMACIE DE LA ROCADE;;;9D;REUNION;97420;LE PORT;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;1989-02-15;;;;2004;BD DE BREST;9D9D407;97420;LE PORT;-20.93461,55.295988;
970464087;970400826;PHARMACIE CHANE MUI;PHARMACIE CHANE MUI;;;9D;LA REUNION;97480;ST JOSEPH;620;Pharmacie d'Officine;3201;Com.Biens Usage Méd.;01;Etablissement Tarif Libre;;;;2007-06-07;;;2008;270 R RAPHAEL BABET;9D9D412;97480;ST JOSEPH;-21.379148,55.621195;
970408910;130804370;ANTENNE SUD SESSAD;ANTENNE SUD SESSAD RESSOURCE;;;9D;LA REUNION;97450;ST LOUIS;182;Service d'Éducation Spéciale et de Soins à Domicile;4106;Serv.Dom.Ambul.Handi;;05;Préfet de Département établissements médico-sociaux;;;2009-03-11;2009-03-11;2012-10-02;2013;3;9D9D414;97450;ST LOUIS;-21.225197,55.424606;
970405213;970430898;SESSAD I.M.S. CH. ISAUTIER (IEM ST LOU;S.E.S.S.A.D.  I.M.S.  CHARLES ISAUTIER (IEM ST LOUIS);;;9D;LA REUNION;97450;ST LOUIS;182;Service d'Éducation Spéciale et de Soins à Domicile;4106;Serv.Dom.Ambul.Handi;;05;Préfet de Département établissements médico-sociaux;;;1999-02-12;1999-02-12;2007-10-25;2009;3 R MARIUS ET ARY LEBLOND;9D9D414;97450;ST LOUIS;-21.283167,55.412071;
970405676;970463592;UAD-DAD-DP (ST GILLES) - AURAR;UAD-DAD-DP (ST GILLES) - AURAR;;;9D;LA REUNION;02 62 45 76 10;97434;ST PAUL;Structure d'Alternative à la dialyse en centre;1203;Dialyse Ambulatoire;;7;ARS établissements de santé non financés dotation globale;0;Non concerné;1999-09-04;1980-10-03;2018-03-05;2018;71 R DES NAVIGATEURS;;97434;ST PAUL;-21.05766,55.233708;
