ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
1020;;Barachois;-20.874084,55.446609;;;;0;;;
1021;;St-Jacques;-20.880985,55.459833;;;;0;;;
1050;;Jardin De L'Etat;-20.885682,55.451513;;;;0;;;
1120;;Météo;-20.89536,55.494354;;;;0;;;
1122;;Stade De L'Est;-20.894183,55.500622;;;;0;;;
1123;;Butor;-20.88565,55.470712;;;;0;;;
1124;;Gymnase;-20.886132,55.478441;;;;0;;;
1131;;Cafés De Chine;-20.899434,55.479106;;;;0;;;
1251;;H. De Ville Ste-Marie;-20.89593,55.550575;;;;0;;;
2121;;Rico Carpaye;-20.947295,55.299138;;;;0;;;
2150;;Sacré Coeur;-20.956454,55.312457;;;;0;;;
2210;;Gare De St-Paul;-21.009513,55.274624;;;;0;;;
2231;;Piton Defaud;-20.970742,55.299731;;;;0;;;
2320;;St-Gilles Les Bains;-21.05069,55.223654;;;;0;;;
2321;;Boucan Canot;-21.030195,55.226684;;;;0;;;
2324;;RDT L'éperon;-21.042985,55.247986;;;;0;;;
2332;;Roches Noires;-21.053005,55.229311;;;;0;;;
2333;;RDT Aire Du Tabac;-21.0985139,55.2662861;;;;0;;;
2550;;Mairie De St-Leu;-21.165971,55.28765;;;;0;;;
2620;;Mairie Du Piton;-21.217044,55.309198;;;;0;;;
2621;;Portail;-21.212005,55.302441;;;;0;;;
2633;;Chemin A. Hoareau;-21.224051,55.316633;;;;0;;;
4020;;Chemin Cabris;-21.252738,55.347554;;;;0;;;
4030;;Avirons Bois Blanc;-21.2505,55.321964;;;;0;;;
4120;;Avenue De L'Océan;-21.265254,55.33541;;;;0;;;
4320;;Allée Des Cèdres;-21.305491,55.428022;;;;0;;;
4410;;Gare De St-Pierre;-21.334183,55.471622;;;;0;;;
4420;;Hôpital de Terre Sainte;-21.347237,55.492834;;;;0;;;
6031;;Rue Vienne;-21.253621,55.465598;;;;0;;;
6110;;Gare Du Tampon;-21.279841,55.513611;;;;0;;;
6131;;GR Piton Des Neiges;-21.174406,55.582339;;;;0;;;
6132;;Maison Du Volcan;-21.202702,55.573822;;;;0;;;
6135;;Rond Point 17ème KM;-21.240971,55.527592;;;;0;;;
6320;;Eglise Vincendo;-21.37384,55.66786;;;;0;;;
6431;;Coulée 1986;-21.302644,55.800412;;;;0;;;
6434;;Nattes;-21.344166,55.795077;;;;0;;;
6437;;Case Basse Vallée;-21.371276,55.71804;;;;0;;;
8031;;Ste-Rose Bois Blanc;-21.197289,55.82021;;;;0;;;
8032;;Vierge Parasol;-21.218986,55.806944;;;;0;;;
8033;;Eglise Piton Ste-Rose;-21.161024,55.824027;;;;0;;;
8230;;Pyramide Fleurie;-21.123718,55.639979;;;;0;;;
8231;;Grotte De Lourdes;-21.133145,55.630628;;;;0;;;
8320;;Pôle Sanitaire;-21.05872,55.711261;;;;0;;;
8410;;Gare De St-Benoit;-21.039086,55.709823;;;;0;;;
8421;;Rivière Des Roches;-21.009022,55.698371;;;;0;;;
8550;;Mairie de Bras Panon;-20.995194,55.676962;;;;0;;;
8610;;Gare De St-André;-20.9646,55.65278;;;;0;;;
8842;;Les Azalées;-21.28589,55.515078;;;;0;;;
91121;;Chaudron;-20.889054,55.490316;;;;0;;;
91122;;Stade De L'Est;-20.893855,55.500193;;;;0;;;
91123;;Butor;-20.88539,55.473799;;;;0;;;
91131;;Cafés De Chine;-20.899236,55.479001;;;;0;;;
91232;;Eglise Ste-Marie;-20.896023,55.554505;;;;0;;;
91322;;Test2;-20.902553,55.597819;;;;0;;;
9135;;Rond Point 17ème KM;-21.240441,55.528424;;;;0;;;
91350;;Ecole Quartier Français;-20.928479,55.63486;;;;0;;;
91351;;H. De Ville Ste-Suzanne;-20.906528,55.607786;;;;0;;;
92220;;Pont De L'étang;-20.988865,55.289327;;;;0;;;
92231;;Piton Defaud;-20.971506,55.298264;;;;0;;;
92323;;Filaos St-Gilles;-21.074449,55.227162;;;;0;;;
92331;;Maison Bourbon;-21.066234,55.224057;;;;0;;;
92420;;Souris Chaude;-21.122617,55.262908;;;;0;;;
92530;;Pointe Au Sel;-21.198921,55.28455;;;;0;;;
92532;;Ferme Corail;-21.151891,55.279476;;;;0;;;
92550;;Mairie De St-Leu;-21.166132,55.287543;;;;0;;;
92622;;RDT Portail;-21.217277,55.298593;;;;0;;;
92624;;Quatre Robinets;-21.196792,55.292082;;;;0;;;
92630;;Deux Chemins;-21.227084,55.32445;;;;0;;;
92631;;Stella;-21.205556,55.295796;;;;0;;;
94020;;Chemin Cabris;-21.252804,55.347934;;;;0;;;
94030;;Avirons Bois Blanc;-21.251544,55.322836;;;;0;;;
94031;;Chemin Maurice;-21.251492,55.342792;;;;0;;;
94032;;Ferblantier;-21.247623,55.337167;;;;0;;;
94050;;Mairie Avirons;-21.242209,55.332998;;;;0;;;
94210;;Gare St-Louis;-21.2897667,55.4066889;;;;0;;;
94220;;Hôpital De St-Louis;-21.285418,55.406229;;;;0;;;
94332;;Chemin Vimbaye;-21.296185,55.443004;;;;0;;;
94421;;Parc Relais;-21.332406,55.455988;;;;0;;;
94530;;Grande Anse;-21.365249,55.549359;;;;0;;;
94532;;Piton Goyaves;-21.32251,55.554308;;;;0;;;
96029;;Gare Routière Entre Deux;-21.248437,55.465372;;;;0;;;
96030;;Fanjan;-21.26863,55.464423;;;;0;;;
96050;;Office Du Tourisme;-21.249797,55.469062;;;;0;;;
96131;;GR Piton Des Neiges;-21.174228,55.582734;;;;0;;;
96150;;Bourg Du 23ème;-21.220901,55.553018;;;;0;;;
