Situé dans un parc national;Identifiant;Coordonnées géographiques;Appartient au patrimoine mondial;Lieu majeur;Nom du lieu remarquable;Accroche;Commune;Code INSEE de la commune;Lieu-dit;Caractéristiques;Accessible mobilité réduite ?
0;4;-21.28006,55.340999;0;1;Gouffre de l'Etang-Salé;;Etang-Salé;97404;;Lieu majeur;Non
0;5;-20.92057,55.603821;0;1;Cascade Niagara;;Sainte-Suzanne;97420;;Lieu majeur;Oui
0;6;-21.123006,55.746848;0;1;Pont suspendu de la Rivière de l'Est;;Sainte-Rose;97419;;Lieu majeur;Oui
0;11;-21.231197,55.649654;0;1;Plaine des Sables;Un arrêt s’impose pour admirer la Plaine des Sables.;Sainte-Rose;97419;Pas de Bellecombe;Lieu majeur;Non
0;15;-21.190399,55.53687;0;1;Belvédère de Bois-Court;;Tampon (Le);97422;;Lieu majeur;Oui
0;17;-21.175313,55.68522;0;1;Piton de l'Eau;;Plaine des Palmistes (La);97406;;Lieu majeur;Non
0;21;-20.873426,55.446812;0;1;Barachois;;Saint-Denis;97411;;Lieu majeur;Oui
0;22;-20.886921,55.450883;0;1;Jardin de l'Etat;;Saint-Denis;97411;;Lieu majeur;Non
0;25;-21.039401,55.536248;0;1;Voile de la Mariée;;Salazie;97421;Salazie;Lieu majeur;Non
0;30;-21.281519,55.79566;0;1;Route des Laves;;Saint-Philippe;97417;Tremblet;Lieu majeur;Oui
0;33;-21.095884,55.236656;0;1;Les Dauphins - Handiplage;;Saint-Paul;97415;;Lieu majeur;Oui
0;34;-21.264359,55.331941;0;1;Plage de l'Etang-Salé;Sable noir et filaos;Etang-Salé;97404;;Lieu majeur;Non
0;41;-20.877163,55.448789;0;1;Cathédrale Saint-Denis;;Saint-Denis;97411;;Lieu majeur;Non
0;44;-20.94859,55.648538;0;1;Temple du Petit Bazar;;Saint-André;97409;;Lieu majeur;Non
0;45;-20.880661,55.458077;0;1;Temple Kali Kampal;;Saint-Denis;97411;;Lieu majeur;Non
0;49;-21.369406,55.732816;0;1;Puits des Anglais;;Saint-Philippe;97417;Le Baril;Lieu majeur;Non
0;50;-21.037804,55.555272;0;1;Trou de Fer;;Salazie;97421;Salazie;Lieu majeur;Non
0;64;-20.937713,55.282311;0;1;Port de la Pointe des Galets;;Port (Le);97407;;Lieu majeur;Non
0;65;-21.168705,55.28611;0;1;Port de Saint-Leu;;Saint-Leu;97413;;Lieu majeur;Non
0;68;-21.125508,55.788165;0;1;Marine de Sainte-Rose;;Sainte-Rose;97419;;Lieu majeur;Non
0;69;-21.083889,55.748045;0;1;Bassin Bleu;;Saint-Benoit;97410;;Lieu majeur;Non
0;74;-21.007965,55.583411;0;1;Cascade Blanche;;Salazie;97421;Salazie;Lieu majeur;Non
0;78;-20.9987,55.304011;0;1;Tour des Roches - Le Moulin à Eau;Route pittoresque qui rattache le monde présent au passé;Saint-Paul;97415;;Lieu majeur;Non
0;79;-21.340356,55.803445;0;1;Puits Arabe;;Saint-Philippe;97417;Tremblet;Lieu majeur;Non
0;82;-21.053815,55.224214;0;1;Plage des Roches Noires;Belle plage de sable blanc au cœur de la station balnéaire;Saint-Paul;97415;;Lieu majeur;Non
0;93;-21.008267,55.269393;0;1;Débarcadère de Saint-Paul;;Saint-Paul;97415;;Lieu majeur;Oui
0;94;-21.125311,55.479284;0;1;La Roche Merveilleuse;Magnifique point de vue;Cilaos;97424;Cilaos;Lieu majeur;Non
0;95;-21.07122,55.51469;0;1;Les Trois Cascades;;Salazie;97421;Hell-Bourg;Lieu majeur;Non
0;96;-21.329534,55.642502;0;1;La Cascade de Trou Noir;Une cascade dans une nature calme et sauvage;Saint-Joseph;97412;;Lieu majeur;Non
;98;-21.223969,55.692276;;0;Formica Léo;;Tampon (Le);97422;;;Non
;100;-21.244797,55.7081;;0;Cratère Bory;;Tampon (Le);97422;;;Non
;101;-21.207315,55.72355;;0;Nez coupé de Ste Rose;;Tampon (Le);97422;;;Non
;102;-21.282915,55.737442;;0;Nez coupé du Trembet;;Tampon (Le);97422;;;Non
;104;-21.22358,55.71332;;0;Cratère Magne;;Tampon (Le);97422;;;Non
;107;-21.227442,55.713955;;0;Piton Kapor;;Tampon (Le);97422;;;Non
;108;-21.230028,55.709606;;0;Piton Célimène;;Tampon (Le);97422;;;Non
;112;-21.260418,55.703606;;0;Cratère Lacroix;;Tampon (Le);97422;;;Non
;113;-21.261429,55.717648;;0;Le Château Fort;;Tampon (Le);97422;;;Non
;115;-21.262684,55.702338;;0;Cratère Cornu;;Tampon (Le);97422;;;Non
;117;-21.217789,55.68738;;0;Gite du volcan;;Tampon (Le);97422;;;Non
;118;-21.211462,55.652668;;0;Oratoire Ste Thérèse;;Tampon (Le);97422;;;Non
;119;-21.208117,55.642025;;0;Cratère Commerson;;Tampon (Le);97422;;;Non
;124;-21.066171,55.411798;;0;Bronchard;;Possession (La);97408;;;Non
;128;-21.026496,55.428117;;0;Ilet à Malheur;;Possession (La);97408;;;Non
;130;-21.030417,55.453798;;0;Cimendef;;Possession (La);97408;;;Non
;140;-21.04332,55.428117;;0;Ilet à Bourse;;Saint-Paul;97415;;;Non
0;3;-21.114834,55.421801;0;1;Grand Bénare;;Saint-Paul;97415;Maïdo - Petite France;Lieu majeur;Non
0;8;-21.18074,55.534771;0;1;Grand Bassin;;Tampon (Le);97422;Plaine des Cafres;Lieu majeur;Non
0;13;-21.2434,55.714733;0;1;Piton de la Fournaise;Cratère Dolomieu;Sainte-Rose;97419;Pas de Bellecombe;Lieu majeur;Non
0;16;-21.095872,55.639265;0;1;Grand Etang;;Saint-Benoit;97410;;Lieu majeur;Non
0;18;-21.368467,55.547116;0;1;Plage de Grande Anse;Une baie bordée de cocotiers et de lataniers avec un bassin;Petite-Ile;97405;Grande Anse;Lieu majeur;Non
0;26;-21.11312,55.433554;0;1;Col du Taïbit;;Cilaos;97424;Cilaos;Lieu majeur;Non
0;27;-21.107147,55.442805;0;1;Trois Salazes;;Cilaos;97424;Cilaos;Lieu majeur;Non
0;28;-21.071147,55.448214;0;1;Col des Bœufs;;Salazie;97421;Grand Ilet;Lieu majeur;Non
0;31;-21.069604,55.220656;0;1;Plage de l’Hermitage;En famille en toute sécurité;Saint-Paul;97415;;Lieu majeur;Non
0;32;-21.083416,55.225727;0;1;Plage de l’Hermitage, La Passe;;Saint-Paul;97415;;Lieu majeur;Non
0;35;-21.165303,55.286014;0;1;Plage de Saint-Leu;Le lagon - A l'ombre des filaos;Saint-Leu;97413;;Lieu majeur;Non
0;37;-21.37294,55.588055;0;1;Site de Manapany-les-Bains;Dans la baie de Manapany;Saint-Joseph;97412;;Lieu majeur;Non
0;43;-21.160573,55.824108;0;1;Notre Dame des Laves;;Sainte-Rose;97419;Piton Sainte Rose;Lieu majeur;Non
0;46;-21.095772,55.236375;0;1;Plage de La Saline-les-Bains;;Saint-Paul;97415;;Lieu majeur;Oui
0;48;-21.01799,55.237466;0;1;Cap Lahoussaye;;Saint-Paul;97415;;Lieu majeur;Non
0;51;-21.217166,55.28817;0;1;Souffleur;;Saint-Leu;97413;;Lieu majeur;Non
0;53;-21.355258,55.739669;1;1;Forêt de Mare-Longue;;Saint-Philippe;97417;Mare Longue;Lieu majeur / Appartient au patrimoine mondial;Non
0;57;-21.311605,55.641423;0;1;Cascade Grand Galet;Dans les hauts de Saint Joseph;Saint-Joseph;97412;Langevin;Lieu majeur;Oui
0;59;-20.903144,55.425553;0;1;Parc du Colorado;;Saint-Denis;97411;;Lieu majeur;Non
0;1;-21.225378,55.685253;0;1;Pas de Bellecombe Jacob;La table d'orientation du Pas de Bellecombe;Sainte-Rose;97419;Pas de Bellecombe;Lieu majeur;Oui
0;61;-21.104275,55.54689;0;1;Bassin des Hirondelles;;Plaine des Palmistes (La);97406;;Lieu majeur;Non
0;2;-21.014804,55.261194;0;1;Cimetière Marin de Saint-Paul;;Saint-Paul;97415;;Lieu majeur;Non
0;63;-21.345885,55.475425;0;1;Port de Saint-Pierre;Le premier port de l'île.;Saint-Pierre;97416;;Lieu majeur;Non
0;7;-20.992978,55.389721;0;1;Cap Noir;;Possession (La);97408;Dos d'Ane;Lieu majeur;Non
0;66;-21.364126,55.767175;0;1;Port de Saint-Philippe;;Saint-Philippe;97417;;Lieu majeur;Non
0;9;-20.879185,55.452474;0;1;Mosquée Noor-e-Islam;;Saint-Denis;97411;;Lieu majeur;Non
0;71;-20.941671,55.587117;0;1;Bassin Bœuf;;Sainte-Suzanne;97420;;Lieu majeur;Non
0;10;-21.027624,55.225991;0;1;Plage de Boucan Canot;Sable blanc, profondeur et coraux;Saint-Paul;97415;;Lieu majeur;Non
0;73;-21.048318,55.704014;0;1;Bassin Mangue;;Saint-Benoit;97410;;Lieu majeur;Non
0;12;-21.07064,55.387862;0;1;Belvédère du Maïdo;Un point de vue exceptionnel sur le cirque de Mafate;Saint-Paul;97415;Maïdo - Petite France;Lieu majeur;Oui
0;85;-21.028035,55.539164;0;1;Place de la Mairie et de l'Eglise Notre Dame de l'Assomption;;Salazie;97421;Salazie;Lieu majeur;Non
1;14;-21.097733,55.479947;1;1;Piton des Neiges;Le plus haut sommet de l'Océan indien;Cilaos;97424;Piton des Neiges;Lieu majeur / Appartient au patrimoine mondial / Situé dans un parc national;Non
0;86;-21.177315,55.28699;0;1;Plage Citerne 46;Plage lagon ombragée;Saint-Leu;97413;;Lieu majeur;Oui
0;19;-21.375146,55.710535;0;1;Cap Méchant;;Saint-Philippe;97417;Cap Méchant;Lieu majeur;Non
0;91;-21.152797,55.61071;0;1;Piton des Songes;;Plaine des Palmistes (La);97406;;Lieu majeur;Non
0;20;-20.92796,55.661338;0;1;Parc du Colosse;;Saint-André;97409;;Lieu majeur;Oui
0;92;-21.372209,55.551089;0;1;Piton Grande Anse;;Petite-Ile;97405;Grande Anse;Lieu majeur;Non
1;23;-21.01489,55.461073;0;1;Roche Ecrite;;Saint-Denis;97411;;Lieu majeur / Situé dans un parc national;Non
;99;-21.21904,55.703255;;0;Piton de Partage;;Tampon (Le);97422;;;Non
0;24;-21.086111,55.466111;0;1;Gros Morne;;Salazie;97421;Piton des Neiges;Lieu majeur;Non
;105;-21.237371,55.7152;;0;Cratère Julien;;Tampon (Le);97422;;;Non
0;29;-21.185237,55.827042;0;1;Anse des Cascades;;Sainte-Rose;97419;Piton Sainte Rose;Lieu majeur;Non
;106;-21.24117,55.688896;;0;Cratère Séry;;Tampon (Le);97422;;;Non
0;36;-21.344406,55.472565;0;1;Plage de Saint-Pierre;Un lagon et une plage de sable blanc au pied de la ville;Saint-Pierre;97416;;Lieu majeur;Non
;109;-21.229885,55.706207;;0;Puy mi-Côte;;Tampon (Le);97422;;;Non
0;38;-21.091249,55.620288;0;1;Takamaka;;Saint-Benoit;97410;;Lieu majeur;Non
;111;-21.254934,55.702423;;0;Cratère Rivals;;Tampon (Le);97422;;;Non
0;39;-21.082098,55.544114;0;1;Forêts de Bébour-Bélouve;;Plaine des Palmistes (La);97406;Plaine des Palmistes (La);Lieu majeur;Non
;120;-21.19075,55.713154;;0;Point de vue Cassé de la Rivière de l'Est;;Tampon (Le);97422;;;Non
0;40;-21.08012,55.742847;0;1;Eglise de Sainte-Anne;;Saint-Benoit;97410;;Lieu majeur;Non
;123;-21.090171,55.41182;;0;Trois Roches;;Possession (La);97408;;;Non
0;42;-21.055922,55.26375;0;1;Chapelle Pointue;;Saint-Paul;97415;;Lieu majeur;Non
